"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_BPS"
"20000630","600201.SH",3.62
"20000630","600077.SH",2.95
"20000630","600112.SH",2.71
"20000630","600097.SH",2.14
"20000630","600126.SH",2.25
"20000630","000683.SZ",1.96
"20000630","000949.SZ",3.79
"20000630","600057.SH",1.709
"20000630","000815.SZ",3.27
"20000630","600894.SH",2.35
"20000630","600857.SH",1.76
"20000630","600879.SH",2.12
"20000630","000789.SZ",1.943
"20000630","000534.SZ",2.64
"20000630","600794.SH",1.79
"20000630","600756.SH",2.2
"20000630","600774.SH",4.06
"20000630","600814.SH",1.766
"20000630","600836.SH",1.81
"20000630","600672.SH",1.47
"20000630","600712.SH",3
"20000630","600734.SH",2.05
"20000630","600650.SH",3.01
"20000630","600666.SH",1.6
"20000630","600691.SH",1.39
"20000630","600629.SH",0.97
"20000630","600634.SH",2.1
"20000630","600608.SH",2.07
"20000630","600323.SH",1.84
"20000630","600301.SH",2.42
"20000630","600227.SH",4.138
"20000630","600151.SH",3.04
"20000630","600122.SH",2.796
"20000630","600178.SH",2.7
"20000630","000930.SZ",3.61
"20000630","600230.SH",2.508
"20000630","000905.SZ",3.23
"20000630","600159.SH",2.97
"20000630","600680.SH",1.725
"20000630","000760.SZ",3.28
"20000630","000851.SZ",1.86
"20000630","600714.SH",1.985
"20000630","600074.SH",3.431
"20000630","600809.SH",1.81
"20000630","000993.SZ",1.62
"20000630","000967.SZ",3.12
"20000630","000763.SZ",1.71
"20000630","000006.SZ",4.29
"20000630","600782.SH",2.088
"20000630","000610.SZ",2.17
"20000630","000758.SZ",2.37
"20000630","000511.SZ",1.43
"20000630","000635.SZ",3.42
"20000630","000586.SZ",1.9
"20000630","000725.SZ",2.29
"20000630","000419.SZ",3.22
"20000630","000002.SZ",4.49
"20000630","000049.SZ",1.667
"20000630","000559.SZ",3.26
"20000630","000698.SZ",3.2
"20000630","000848.SZ",2.73
"20000630","000026.SZ",2.36
"20000630","000667.SZ",2.005
"20000630","600146.SH",2.17
"20000630","600222.SH",3.03
"20000630","000687.SZ",3.73
"20000630","000860.SZ",3.08
"20000630","600253.SH",1.648
"20000630","000832.SZ",3.02
"20000630","000535.SZ",1.09
"20000630","600842.SH",1.83
"20000630","000980.SZ",3.29
"20000630","600207.SH",4.65
"20000630","000668.SZ",2.2
"20000630","600286.SH",3.65
"20000630","000675.SZ",1.11
"20000630","000030.SZ",0.04
"20000630","000425.SZ",1.79
"20000630","600805.SH",3.16
"20000630","000578.SZ",1.31
"20000630","600632.SH",2.725
"20000630","000522.SZ",0.061
"20000630","000563.SZ",1.65
"20000630","600772.SH",2.05
"20000630","600788.SH",3.85
"20000630","000549.SZ",1.778
"20000630","600700.SH",1.78
"20000630","000406.SZ",3.86
"20000630","000408.SZ",2.94
"20000630","000730.SZ",1.7
"20000630","000066.SZ",2.566
"20000630","000975.SZ",3.74
"20000630","600675.SH",3.13
"20000630","600832.SH",2.6
"20000630","600760.SH",3.01
"20000630","600661.SH",2.03
"20000630","600745.SH",1.67
"20000630","600890.SH",2.48
"20000630","600717.SH",3.74
"20000630","600862.SH",4.5
"20000630","600647.SH",0.185
"20000630","600689.SH",3.283
"20000630","600847.SH",1.01
"20000630","600619.SH",2.346
"20000630","000965.SZ",2.49
"20000630","000653.SZ",0.27
"20000630","000801.SZ",1.79
"20000630","600191.SH",2.7
"20000630","000996.SZ",1.626
"20000630","000627.SZ",1.88
"20000630","000786.SZ",2.95
"20000630","000950.SZ",2.72
"20000630","600177.SH",4.671
"20000630","000595.SZ",2.43
"20000630","000738.SZ",2.79
"20000630","000909.SZ",2.68
"20000630","600161.SH",1.58
"20000630","600600.SH",2.57
"20000630","000705.SZ",2.11
"20000630","000889.SZ",1.74
"20000630","000902.SZ",2.53
"20000630","000929.SZ",4.54
"20000630","000988.SZ",4.91
"20000630","000971.SZ",2.3
"20000630","000825.SZ",2.261
"20000630","000895.SZ",2.55
"20000630","000925.SZ",3.98
"20000630","000979.SZ",4.92
"20000630","000830.SZ",3.51
"20000630","000722.SZ",3.91
"20000630","000691.SZ",2.466
"20000630","000787.SZ",2.13
"20000630","000731.SZ",2.79
"20000630","000718.SZ",3.07
"20000630","000778.SZ",3.523
"20000630","600721.SH",1.93
"20000630","000682.SZ",1.442
"20000630","000711.SZ",2.28
"20000630","000766.SZ",3.63
"20000630","000677.SZ",1.679
"20000630","600715.SH",1.51
"20000630","000707.SZ",4.7
"20000630","000806.SZ",1.65
"20000630","000755.SZ",3.04
"20000630","000669.SZ",1.064
"20000630","000697.SZ",3.51
"20000630","000737.SZ",2.402
"20000630","000798.SZ",3.78
"20000630","000662.SZ",1.035
"20000630","000670.SZ",3.32
"20000630","600728.SH",2.5
"20000630","000792.SZ",2.936
"20000630","600139.SH",2.26
"20000630","600090.SH",3.03
"20000630","600656.SH",1.463
"20000630","600054.SH",2.35
"20000630","600152.SH",1.534
"20000630","600131.SH",1.53
"20000630","600193.SH",2.88
"20000630","600082.SH",3.21
"20000630","600120.SH",3.17
"20000630","600076.SH",2.754
"20000630","600755.SH",3.841
"20000630","600007.SH",2.57
"20000630","600743.SH",1.46
"20000630","600070.SH",3.11
"20000630","600223.SH",3.08
"20000630","600258.SH",2.93
"20000630","600107.SH",2.54
"20000630","000819.SZ",2.006
"20000630","000885.SZ",3.91
"20000630","000922.SZ",3.22
"20000630","000966.SZ",2.726
"20000630","000818.SZ",2.894
"20000630","000876.SZ",3.01
"20000630","000917.SZ",3.79
"20000630","000959.SZ",2.293
"20000630","000862.SZ",2.42
"20000630","000812.SZ",2.34
"20000630","000910.SZ",3.34
"20000630","000952.SZ",2.69
"20000630","000852.SZ",2.72
"20000630","000935.SZ",2.699
"20000630","600866.SH",3.87
"20000630","600359.SH",2.52
"20000630","600215.SH",4.78
"20000630","600281.SH",1.65
"20000630","600898.SH",-6.886
"20000630","600859.SH",4.386
"20000630","600208.SH",2.75
"20000630","600775.SH",1.12
"20000630","600821.SH",2.61
"20000630","600165.SH",2.07
"20000630","600199.SH",2.22
"20000630","600768.SH",1.5
"20000630","600812.SH",2.18
"20000630","600190.SH",2.18
"20000630","600762.SH",-0.43
"20000630","600806.SH",2.05
"20000630","600851.SH",2.93
"20000630","600234.SH",3.32
"20000630","600798.SH",1.51
"20000630","600834.SH",2.11
"20000630","600182.SH",2.276
"20000630","600237.SH",4.25
"20000630","600226.SH",3.81
"20000630","600791.SH",1.62
"20000630","600826.SH",2.71
"20000630","600171.SH",2.7
"20000630","600098.SH",2.7
"20000630","600108.SH",3.55
"20000630","600062.SH",2.48
"20000630","600736.SH",2.4
"20000630","600622.SH",2.43
"20000630","600614.SH",1.403
"20000630","000008.SZ",1.518
"20000630","600605.SH",1.5
"20000630","000001.SZ",1.984
"20000630","000034.SZ",0.24
"20000630","600641.SH",2.41
"20000630","601607.SH",3.15
