"REPORT_PERIOD","S_INFO_WINDCODE","S_QFA_YOYPROFIT"
"20010930","000556.SZ",110.4678
"20010930","000990.SZ",178.7632
"20010930","600227.SH",-29.9118
"20010930","600178.SH",-82.1686
"20010930","600508.SH",3.7668
"20010930","000406.SZ",-47.8931
"20010930","600717.SH",60.4616
"20010930","600721.SH",133.4706
"20010930","600834.SH",10.074
"20010930","600703.SH",197.7396
"20010930","000592.SZ",105.143
"20010930","000553.SZ",31.741
"20010930","600247.SH",65.3895
"20010930","000689.SZ",-249.9185
"20010930","T00018.SH",-24.2502
"20010930","600764.SH",-62.4592
"20010930","600399.SH",-31.5158
"20010930","600837.SH",180.7875
"20010930","600899.SH",255.9621
"20010930","600010.SH",-39.5941
"20010930","600081.SH",13.3091
"20010930","600109.SH",49.1493
"20010930","600148.SH",-105.6811
"20010930","600642.SH",65.6333
"20010930","600231.SH",2.2204
"20010930","000585.SZ",45.6775
"20010930","000805.SZ",259.2845
"20010930","000869.SZ",253.3112
"20010930","000025.SZ",4.7581
"20010930","000047.SZ",23.1746
"20010930","000515.SZ",80.5597
"20011231","600703.SH",-1498.2514
"20011231","600227.SH",-88.7696
"20011231","600837.SH",135.1633
"20011231","000592.SZ",-731.2757
"20011231","600010.SH",-48.0935
"20011231","600178.SH",-59.58
"20011231","600081.SH",1392.7421
"20011231","000553.SZ",68.4542
"20011231","600109.SH",200.1371
"20011231","600721.SH",99.8473
"20011231","600148.SH",275.1169
"20011231","600247.SH",-6.9553
"20011231","000406.SZ",-79.6377
"20011231","600231.SH",108.3685
"20011231","000689.SZ",-351.3991
"20011231","000585.SZ",-221.4824
"20011231","600834.SH",64.4236
"20011231","000805.SZ",-64.5605
"20011231","T00018.SH",-9.8115
"20011231","000869.SZ",23.6029
"20011231","600508.SH",71.2178
"20011231","000025.SZ",144.5412
"20011231","600764.SH",-37.1077
"20011231","000047.SZ",-101.3381
"20011231","600306.SH",14.893
"20011231","000515.SZ",-100.1295
"20011231","600399.SH",160.871
"20011231","000990.SZ",-42.2699
"20011231","600717.SH",-15.8002
"20020331","000515.SZ",-81.4791
"20020331","000553.SZ",-214.8842
"20020331","000962.SZ",-94.394
"20020331","000522.SZ",-7.2191
"20020331","000523.SZ",-580.6392
"20020331","600016.SH",20.42
"20020331","000536.SZ",111.6588
"20020331","000011.SZ",100.5646
"20020331","001696.SZ",220.4733
"20020331","000623.SZ",159.8534
"20020331","000546.SZ",-17.5967
"20020331","600743.SH",179.4376
"20020331","000025.SZ",-40.0126
"20020331","000689.SZ",21.9482
