"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_ROE"
"20000331","600247.SH",2.2474
"20000331","000153.SZ",5.5696
"20000331","600280.SH",2.8276
"20000331","000150.SZ",5.3649
"20000630","000421.SZ",1.9889
"20000630","000977.SZ",4.5446
"20000630","000509.SZ",6.6341
"20000630","000430.SZ",-7.9465
"20000630","000507.SZ",2.8334
"20000630","000972.SZ",1.5563
"20000630","000517.SZ",12.7205
"20000630","000970.SZ",6.65
"20000630","000956.SZ",15.0557
"20000630","000911.SZ",2.8492
"20000630","000603.SZ",2.6562
"20000630","000566.SZ",-4.5246
"20000630","000572.SZ",-7.9231
"20000630","000565.SZ",-2.2693
"20000630","000571.SZ",0.0959
"20000630","000564.SZ",1.5493
"20000630","000570.SZ",2.4049
"20000630","000568.SZ",4.0785
"20000630","000547.SZ",0.0229
"20000630","000567.SZ",-1.5353
"20000630","000546.SZ",-25.2623
"20000630","000989.SZ",4.9133
"20000630","000990.SZ",2.2473
"20000630","000557.SZ",17.3527
"20000630","000987.SZ",6.161
"20000630","001696.SZ",-15.2488
"20000630","000545.SZ",-1.1645
"20000630","000554.SZ",7.5267
"20000630","000997.SZ",13.8963
"20000630","000551.SZ",5.3162
"20000630","000561.SZ",-0.9244
"20000630","000560.SZ",-9.0321
"20000630","000995.SZ",7.6486
"20000630","000550.SZ",0.3534
"20000630","000543.SZ",2.1793
"20000630","000521.SZ",0.1606
"20000630","000530.SZ",3.3699
"20000630","000536.SZ",-190.8696
"20000630","000520.SZ",3.5925
"20000630","000542.SZ",4.4267
"20000630","000528.SZ",1.9265
"20000630","000537.SZ",14.3698
"20000630","000056.SZ",1.0376
"20000630","000040.SZ",0.5009
"20000630","000882.SZ",0.4673
"20000630","000897.SZ",2.9642
"20000630","000906.SZ",4.8604
"20000630","000039.SZ",11.4588
"20000630","000061.SZ",10.1352
"20000630","000048.SZ",8.6814
"20000630","000892.SZ",8.5278
"20000630","000933.SZ",7.3504
"20000630","000923.SZ",3.0096
"20000630","000969.SZ",4.361
"20000630","000429.SZ",4.012
"20000630","000505.SZ",-3.2847
"20000630","000932.SZ",4.2448
"20000630","000955.SZ",0.7608
"20000630","000908.SZ",3.896
"20000630","000921.SZ",2.5429
"20000630","000422.SZ",2.837
"20000630","000931.SZ",4.1496
"20000630","000953.SZ",2.3464
"20000630","000920.SZ",5.399
"20000630","000928.SZ",2.3156
"20000630","000951.SZ",0.5794
"20000630","000919.SZ",5.8864
"20000630","000927.SZ",2.5392
"20000630","000937.SZ",5.2208
"20000630","000960.SZ",4.0271
"20000630","000918.SZ",2.4773
"20000630","000915.SZ",0.5511
"20000630","000926.SZ",6.7192
"20000630","000936.SZ",5.1041
"20000630","000958.SZ",2.9078
"20000630","000916.SZ",3.814
"20000630","000416.SZ",-1.3717
"20000630","000070.SZ",3.8465
"20000630","000409.SZ",-1.7451
"20000630","000957.SZ",4.648
"20000630","000155.SZ",7.7056
"20000630","000403.SZ",13.5548
"20000630","000065.SZ",5.2357
"20000630","000533.SZ",4.2355
"20000630","000541.SZ",6.1699
"20000630","000518.SZ",20.4516
"20000630","000527.SZ",11.2384
"20000630","000531.SZ",5.0445
"20000630","000540.SZ",11.2929
"20000630","000983.SZ",10.3511
"20000630","000524.SZ",2.0715
"20000630","000985.SZ",13.3769
"20000630","000978.SZ",4.4514
"20000630","000539.SZ",10.7917
"20000630","000523.SZ",1.3214
"20000630","000981.SZ",6.1721
"20000630","000428.SZ",3.4949
"20000630","000503.SZ",11.369
"20000630","000963.SZ",3.1635
"20000630","000514.SZ",3.1927
"20000630","000961.SZ",4.9592
"20000630","000501.SZ",3.0639
"20000630","000426.SZ",3.9175
"20000630","000510.SZ",2.4812
"20000630","000962.SZ",7.221
"20000630","000488.SZ",8.6324
"20000630","000817.SZ",9.0585
"20000630","000785.SZ",5.5432
"20000630","000827.SZ",5.6266
"20000630","000803.SZ",-4.0863
"20000630","000816.SZ",3.7835
"20000630","000800.SZ",5.2153
"20000630","000813.SZ",2.0137
"20000630","000826.SZ",0.0868
"20000630","000903.SZ",2.4463
"20000630","000062.SZ",4.8947
"20000630","000059.SZ",0.1249
"20000630","000047.SZ",-28.4822
"20000630","000888.SZ",1.6986
"20000630","000901.SZ",2.2787
"20000630","000035.SZ",8.4627
"20000630","000012.SZ",4.4866
"20000630","000018.SZ",1.287
"20000630","000027.SZ",10.8212
"20000630","000036.SZ",6.7158
"20000630","000024.SZ",5.0018
"20000630","000032.SZ",3.1213
"20000630","000010.SZ",-1.9927
"20000630","000017.SZ",-37.0815
"20000630","000025.SZ",-46.0641
"20000630","000021.SZ",2.6477
"20000630","000031.SZ",0.6257
"20000630","000009.SZ",1.6575
"20000630","000019.SZ",2.8824
"20000630","000037.SZ",8.8259
"20000630","000013.SZ",3.393
"20000630","000029.SZ",1.2066
"20000630","000038.SZ",2.4542
"20000630","000869.SZ",11.135
"20000630","000833.SZ",1.1742
"20000630","000859.SZ",2.5654
"20000630","000005.SZ",0.307
"20000630","000831.SZ",2.2905
"20000630","000858.SZ",16.3092
"20000630","000004.SZ",9.0695
"20000630","000880.SZ",7.4473
"20000630","000157.SZ",17.6639
"20000630","000401.SZ",3.5605
"20000630","000063.SZ",7.828
"20000630","000415.SZ",5.9998
"20000630","000400.SZ",5.8164
"20000630","000090.SZ",5.0999
"20000630","000412.SZ",-7.8791
"20000630","000096.SZ",8.9359
"20000630","000159.SZ",8.7291
"20000630","000420.SZ",3.6352
"20000630","000088.SZ",1.2659
"20000630","000411.SZ",-20.1289
"20000630","000417.SZ",4.0832
"20000630","000078.SZ",12.6869
"20000630","000158.SZ",9.7235
"20000630","000410.SZ",1.1068
"20000630","000887.SZ",5.2889
"20000630","000900.SZ",3.6368
"20000630","000886.SZ",1.4801
"20000630","000899.SZ",4.4127
"20000630","000043.SZ",2.2011
"20000630","000058.SZ",0.8674
"20000630","000883.SZ",2.6455
"20000630","000898.SZ",4.175
"20000630","000666.SZ",4.4486
"20000630","000679.SZ",2.536
"20000630","000658.SZ",-12.1718
"20000630","000638.SZ",-9.6052
"20000630","000630.SZ",6.4055
"20000630","000659.SZ",3.3505
"20000630","000671.SZ",3.5182
"20000630","000665.SZ",4.2323
"20000630","000657.SZ",10.1066
"20000630","000795.SZ",3.2523
"20000630","000729.SZ",4.8114
"20000630","000799.SZ",3.0403
"20000630","000811.SZ",6.2344
"20000630","000823.SZ",4.5064
"20000630","000791.SZ",0.6476
"20000630","000728.SZ",2.3871
"20000630","000748.SZ",3.6658
"20000630","000779.SZ",4.0856
"20000630","000765.SZ",7.1607
"20000630","000727.SZ",6.3428
"20000630","000759.SZ",4.746
"20000630","000739.SZ",1.1847
"20000630","000777.SZ",6.4731
"20000630","000762.SZ",2.2672
