"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_YOY_EQUITY"
"20000331","000150.SZ",
"20000331","000153.SZ",
"20000331","600247.SH",
"20000331","600280.SH",
"20000630","000001.SZ",-21.4174
"20000630","000002.SZ",36.6697
"20000630","000003.SZ",-93.4875
"20000630","000004.SZ",4.0728
"20000630","000005.SZ",-0.2353
"20000630","000006.SZ",-5.0042
"20000630","000007.SZ",-27.3587
"20000630","000008.SZ",14.5877
"20000630","000009.SZ",3.7581
"20000630","000010.SZ",-32.9715
"20000630","000011.SZ",-67.8128
"20000630","000012.SZ",-5.7652
"20000630","000013.SZ",-17.2382
"20000630","000014.SZ",-201.1854
"20000630","000015.SZ",34.1865
"20000630","000016.SZ",63.0879
"20000630","000017.SZ",-37.3969
"20000630","000018.SZ",2.5078
"20000630","000019.SZ",-0.9167
"20000630","000020.SZ",-2.2039
"20000630","000021.SZ",5.1049
"20000630","000022.SZ",4.0746
"20000630","000023.SZ",-16.6157
"20000630","000024.SZ",64.88
"20000630","000025.SZ",-53.6051
"20000630","000026.SZ",-4.2222
"20000630","000027.SZ",4.885
"20000630","000028.SZ",0.3141
"20000630","000029.SZ",7.5461
"20000630","000030.SZ",-80.2431
"20000630","000031.SZ",-14.2845
"20000630","000032.SZ",-20.938
"20000630","000033.SZ",-8.6915
"20000630","000034.SZ",58.4787
"20000630","000035.SZ",29.7108
"20000630","000036.SZ",16.3721
"20000630","000037.SZ",2.9264
"20000630","000038.SZ",-33.9591
"20000630","000039.SZ",17.0172
"20000630","000040.SZ",3.6943
"20000630","000042.SZ",-1.7254
"20000630","000043.SZ",-5.2931
"20000630","000045.SZ",14.9126
"20000630","000046.SZ",9.5873
"20000630","000047.SZ",-61.8181
"20000630","000048.SZ",17.7071
"20000630","000049.SZ",6.9514
"20000630","000050.SZ",2.3596
"20000630","000055.SZ",20.1759
"20000630","000056.SZ",-0.0031
"20000630","000058.SZ",22.4773
"20000630","000059.SZ",-10.5954
"20000630","000060.SZ",-0.0586
"20000630","000061.SZ",7.7866
"20000630","000062.SZ",-1.3779
"20000630","000063.SZ",57.1676
"20000630","000065.SZ",10.1763
"20000630","000066.SZ",35.4228
"20000630","000068.SZ",0.7525
"20000630","000069.SZ",-3.9147
"20000630","000070.SZ",
"20000630","000078.SZ",14.4743
"20000630","000088.SZ",-0.353
"20000630","000089.SZ",23.8775
"20000630","000090.SZ",100.2705
"20000630","000096.SZ",
"20000630","000099.SZ",
"20000630","000150.SZ",
"20000630","000155.SZ",
"20000630","000157.SZ",
"20000630","000158.SZ",
"20000630","000159.SZ",
"20000630","000301.SZ",115.2167
"20000630","000400.SZ",53.6387
"20000630","000401.SZ",-1.0071
"20000630","000402.SZ",9.4457
"20000630","000403.SZ",19.1567
"20000630","000404.SZ",0.8328
"20000630","000405.SZ",0.9632
"20000630","000406.SZ",202.6377
"20000630","000407.SZ",56.7524
"20000630","000408.SZ",-0.7753
"20000630","000409.SZ",-15.0341
"20000630","000410.SZ",-4.4938
"20000630","000411.SZ",-55.9064
"20000630","000412.SZ",-7.4886
"20000630","000413.SZ",14.0844
"20000630","000415.SZ",49.6073
"20000630","000416.SZ",-17.0654
"20000630","000417.SZ",7.0489
"20000630","000418.SZ",2.6379
"20000630","000419.SZ",61.2997
"20000630","000420.SZ",6.2437
"20000630","000421.SZ",32.6908
"20000630","000422.SZ",5.7512
"20000630","000423.SZ",3.5994
"20000630","000425.SZ",32.6241
"20000630","000426.SZ",12.7393
"20000630","000428.SZ",6.6283
"20000630","000429.SZ",7.5284
"20000630","000430.SZ",-10.1863
"20000630","000488.SZ",14.2761
"20000630","000498.SZ",1.9788
"20000630","000501.SZ",-13.6237
"20000630","000502.SZ",567.2614
"20000630","000503.SZ",27.3181
"20000630","000504.SZ",-54.8075
"20000630","000505.SZ",7.0375
"20000630","000506.SZ",-2.6547
"20000630","000507.SZ",3.2516
"20000630","000509.SZ",-1.6196
"20000630","000510.SZ",-11.1717
"20000630","000511.SZ",12.7654
"20000630","000513.SZ",-12.7296
"20000630","000514.SZ",-21.537
"20000630","000515.SZ",-131.3142
"20000630","000516.SZ",15.7939
"20000630","000517.SZ",22.7935
"20000630","000518.SZ",83.2833
"20000630","000519.SZ",12.8483
"20000630","000520.SZ",2.837
"20000630","000521.SZ",-1.2229
"20000630","000522.SZ",-142.0913
"20000630","000523.SZ",7.8606
"20000630","000524.SZ",1.5975
"20000630","000525.SZ",18.5625
"20000630","000526.SZ",10.2351
"20000630","000527.SZ",34.1351
"20000630","000528.SZ",-4.6188
"20000630","000529.SZ",-23.1842
"20000630","000530.SZ",1.3394
"20000630","000531.SZ",3.0173
"20000630","000532.SZ",-11.6682
"20000630","000533.SZ",-2.8362
"20000630","000534.SZ",-9.3488
"20000630","000535.SZ",-49.3275
"20000630","000536.SZ",-99.5461
"20000630","000537.SZ",25.7738
"20000630","000538.SZ",49.3724
