"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_GROSSPROFITMARGIN_TTM"
"20000630","000005.SZ",55.6957
"20000630","000007.SZ",13.4077
"20000630","000010.SZ",9.5646
"20000630","000018.SZ",5.9013
"20000630","000024.SZ",24.8624
"20000630","000030.SZ",15.3386
"20000630","000034.SZ",17.2494
"20000630","000037.SZ",24.1709
"20000630","000040.SZ",50.689
"20000630","000059.SZ",15.9158
"20000630","000068.SZ",32.2881
"20000630","000408.SZ",27.982
"20000630","000415.SZ",50.0668
"20000630","000421.SZ",23.6307
"20000630","000504.SZ",-375.1379
"20000630","000505.SZ",-10.0814
"20000630","000510.SZ",19.6463
"20000630","000511.SZ",57.0006
"20000630","000526.SZ",16.5252
"20000630","000557.SZ",29.6953
"20000630","000587.SZ",32.3818
"20000630","000590.SZ",51.5145
"20000630","000591.SZ",16.3427
"20000630","000606.SZ",35.5139
"20000630","000609.SZ",30.7062
"20000630","000611.SZ",25.0502
"20000630","000615.SZ",25.3824
"20000630","000617.SZ",18.0253
"20000630","000622.SZ",34.8473
"20000630","000626.SZ",3.3518
"20000630","000629.SZ",20.4053
"20000630","000633.SZ",19.9796
"20000630","000659.SZ",27.4694
"20000630","000662.SZ",-3.7659
"20000630","000667.SZ",12.3095
"20000630","000670.SZ",12.4395
"20000630","000676.SZ",46.2582
"20000630","000677.SZ",15.7163
"20000630","000693.SZ",33.1113
"20000630","000709.SZ",19.8057
"20000630","000711.SZ",75.8179
"20000630","000717.SZ",10.5004
"20000630","000790.SZ",39.6741
"20000630","000795.SZ",30.2081
"20000630","000799.SZ",64.0037
"20000630","000813.SZ",29.5498
"20000630","000815.SZ",23.696
"20000630","000826.SZ",17.5531
"20000630","000831.SZ",17.8733
"20000630","000838.SZ",8.9707
"20000630","000856.SZ",31.9154
"20000630","000863.SZ",36.0987
"20000630","000889.SZ",39.9801
"20000630","000892.SZ",28.2537
"20000630","000893.SZ",14.7291
"20000630","000910.SZ",25.6973
"20000630","000912.SZ",27.9815
"20000630","000913.SZ",19.0739
"20000630","000927.SZ",19.5311
"20000630","000933.SZ",37.343
"20000630","000962.SZ",28.3448
"20000630","600005.SH",13.8321
"20000630","600007.SH",53.019
"20000630","600053.SH",25.185
"20000630","600055.SH",31.0591
"20000630","600068.SH",24.7891
"20000630","600069.SH",19.4579
"20000630","600071.SH",21.408
"20000630","600076.SH",75.1629
"20000630","600090.SH",26.9499
"20000630","600091.SH",18.9975
"20000630","600093.SH",34.516
"20000630","600102.SH",16.4713
"20000630","600110.SH",58.0489
"20000630","600135.SH",42.1024
"20000630","600136.SH",65.39
"20000630","600163.SH",28.5346
"20000630","600179.SH",14.4631
"20000630","600186.SH",25.3089
"20000630","600201.SH",16.3579
"20000630","600212.SH",18.1063
"20000630","600217.SH",44.7027
"20000630","600555.SH",24.7747
"20000630","600601.SH",13.614
"20000630","600602.SH",17.3019
"20000630","600603.SH",13.5419
"20000630","600604.SH",6.1145
"20000630","600605.SH",12.128
"20000630","600606.SH",43.1593
"20000630","600607.SH",17.7136
"20000630","600608.SH",13.2189
"20000630","600609.SH",25.028
"20000630","600610.SH",4.2859
"20000630","600611.SH",33.4668
"20000630","600612.SH",19.0764
"20000630","600613.SH",17.7083
"20000630","600614.SH",15.5218
"20000630","600615.SH",30.03
"20000630","600616.SH",14.2015
"20000630","600617.SH",6.418
"20000630","600618.SH",17.5918
"20000630","600619.SH",27.055
"20000630","600620.SH",27.3832
"20000630","600621.SH",20.3237
"20000630","600622.SH",17.209
"20000630","600623.SH",11.0695
"20000630","600629.SH",16.5345
"20000630","600643.SH",16.1377
"20000630","600644.SH",27.7516
"20000630","600651.SH",17.9836
"20000630","600652.SH",18.0046
"20000630","600653.SH",4.3028
"20000630","600654.SH",38.9538
"20000630","600655.SH",14.4823
"20000630","600656.SH",18.975
"20000630","600662.SH",39.5728
"20000630","600673.SH",25.8639
"20000630","600675.SH",11.9771
"20000630","600679.SH",8.4695
"20000630","600681.SH",28.3657
"20000630","600683.SH",0.0159
"20000630","600691.SH",32.2494
"20000630","600701.SH",14.2346
"20000630","600704.SH",7.8073
"20000630","600707.SH",19.5395
"20000630","600708.SH",14.2648
"20000630","600713.SH",16.0551
"20000630","600715.SH",20.9335
"20000630","600721.SH",16.9418
"20000630","600722.SH",27.1687
"20000630","600725.SH",30.1768
"20000630","600737.SH",35.9634
"20000630","600760.SH",19.1808
"20000630","600777.SH",26.9709
"20000630","600779.SH",31.3351
"20000630","600783.SH",22.2003
